id,title,genres,averageRating,numVotes,releaseYear
tt1517489,"Spy Kids 4: All the Time in the World","Action, Adventure, Comedy",3.6,28981,2011
tt0367093,"Starship Troopers 2: Hero of the Federation","Action, Adventure, Horror",3.6,24773,2004
tt11012066,"Home Sweet Home Alone","Comedy, Crime, Family",3.6,20735,2021
tt13439476,Kaamraj,Drama,3.6,19146,2020
tt0291502,"Swept Away","Comedy, Romance",3.6,18134,2002
tt6988116,Kalank,"Drama, Romance",3.6,17291,2019
tt1185266,"Stan Helsing","Comedy, Fantasy, Horror",3.6,15144,2009
tt1231277,"S. Darko","Drama, Mystery, Sci-Fi",3.6,14615,2009
tt7721946,"Housefull 4","Action, Comedy, Drama",3.6,14563,2019
tt27785645,"Episode #1.7","Comedy, Drama, Romance",3.6,14463,2023
tt1153706,"Dance Flick","Action, Comedy, Music",3.6,12865,2009
tt5456546,"Judwaa 2","Action, Comedy, Romance",3.6,11923,2017
tt7312940,Singularity,"Action, Adventure, Drama",3.6,11753,2017
tt30007864,"The American Society of Magical Negroes","Comedy, Fantasy",3.6,10880,2024
tt9592496,Pogaru,Action,3.6,10388,2021
tt0094074,"Superman IV: The Quest for Peace","Action, Adventure, Sci-Fi",3.7,53793,1987
tt0085750,"Jaws 3-D","Adventure, Horror, Thriller",3.7,49490,1983
tt0432291,"The Fog","Horror, Mystery",3.7,39810,2005
tt0120185,"Spice World","Comedy, Family, Music",3.7,38221,1997
tt0190374,"Dungeons & Dragons","Action, Adventure, Fantasy",3.7,36661,2000
tt0158622,"The Flintstones in Viva Rock Vegas","Comedy, Family, Romance",3.7,25902,2000
tt15387026,Destiny,"Action, Adventure, Drama",3.7,25892,2024
tt0891592,"Street Fighter: The Legend of Chun-Li","Action, Crime, Fantasy",3.7,25582,2009
tt0308208,"Ballistic: Ecks vs. Sever","Action, Crime, Mystery",3.7,21259,2002
tt0283877,"American Psycho II: All American Girl","Horror, Thriller",3.7,18385,2002
tt1091617,"Expelled: No Intelligence Allowed",Documentary,3.7,12218,2008
tt0806147,"Extreme Movie",Comedy,3.7,11660,2008
tt0800003,"Delta Farce","Action, Adventure, Comedy",3.7,11573,2007
tt3832096,"Cabin Fever","Horror, Sci-Fi, Thriller",3.7,11395,2016
tt0120389,"Turbo: A Power Rangers Movie","Action, Adventure, Family",3.7,10059,1997
tt0118688,"Batman & Robin","Action, Sci-Fi",3.8,271886,1997
tt0450345,"The Wicker Man","Horror, Mystery, Thriller",3.8,72460,2006
tt0811138,"The Love Guru","Comedy, Romance, Sport",3.8,55484,2008
tt0460780,"In the Name of the King: A Dungeon Siege Tale","Action, Adventure, Fantasy",3.8,51624,2007
tt1714203,"Piranha 3DD","Comedy, Horror, Sci-Fi",3.8,46142,2012
tt0118661,"The Avengers","Action, Adventure, Sci-Fi",3.8,45875,1998
tt0275022,Crossroads,"Comedy, Drama, Romance",3.8,45080,2002
tt1530509,"The Human Centipede 2 (Full Sequence)",Horror,3.8,44210,2011
tt0424774,"The Adventures of Sharkboy and Lavagirl 3-D","Action, Adventure, Comedy",3.8,43415,2005
tt0076009,"Exorcist II: The Heretic",Horror,3.8,29082,1977
tt3477064,"Recep Ivedik 4",Comedy,3.8,18855,2014
tt0094824,"Caddyshack II","Comedy, Sport",3.8,16689,1988
tt21279138,"Maid in Malacañang","Biography, Drama",3.8,15744,2022
tt1104123,"The Scorpion King 2: Rise of a Warrior","Action, Adventure, Fantasy",3.8,14868,2008
tt7897330,"Deadly Illusions","Crime, Drama, Mystery",3.8,13921,2021
tt4059702,AmeriGeddon,"Action, Adventure, Drama",3.8,13390,2016
tt1552211,"The Last Days of American Crime","Action, Crime, Drama",3.8,12563,2020
tt10598156,Dhaakad,"Action, Thriller",3.8,12155,2022
tt2292959,"The Canyons","Drama, Thriller",3.8,12076,2013
tt0489598,"The Hills",Reality-TV,3.8,11616,2006
tt8328716,"Doom: Annihilation","Action, Adventure, Horror",3.8,10625,2019
tt0107612,"Mr. Nanny","Action, Comedy, Family",3.8,10344,1993
tt0082910,"Piranha II: The Spawning","Horror, Sci-Fi, Thriller",3.8,10153,1982
tt0120179,"Speed 2: Cruise Control","Action, Adventure, Crime",3.9,87169,1997
tt0220506,"Halloween: Resurrection","Horror, Thriller",3.9,50537,2002
tt0052077,"Plan 9 from Outer Space","Horror, Sci-Fi",3.9,41081,1957
tt1255919,"Holmes & Watson","Comedy, Crime, Mystery",3.9,40030,2018
tt0926129,"Prom Night",Horror,3.9,38602,2008
tt18072316,"Bade Miyan Chote Miyan","Action, Adventure, Sci-Fi",3.9,38400,2024
tt6513656,"Escape Plan 2: Hades","Action, Crime, Mystery",3.9,36030,2018
tt0365957,"You Got Served","Drama, Music",3.9,28820,2004
tt0180052,"The Adventures of Pluto Nash","Action, Comedy, Sci-Fi",3.9,27322,2002
tt1014775,"Beverly Hills Chihuahua","Adventure, Comedy, Drama",3.9,26273,2008
tt1139592,"Jeepers Creepers III",Horror,3.9,25041,2017
tt1563069,"Jersey Shore","Comedy, Reality-TV, Romance",3.9,24712,2009
tt5882970,Tubelight,"Drama, War",3.9,22043,2017
tt1656171,Dam999,"Adventure, Drama, Sci-Fi",3.9,20751,2011
tt0492389,"Furry Vengeance","Comedy, Family",3.9,18506,2010
tt7510346,"The Turning","Drama, Horror, Mystery",3.9,16551,2020
tt8066940,"Indian 2","Action, Drama, Thriller",3.9,15601,2024
tt14865406,"Deep Fear","Action, Horror, Thriller",3.9,15546,2023
tt0106761,"Double Dragon","Action, Adventure, Comedy",3.9,14090,1994
tt1712159,11-11-11,"Horror, Mystery, Thriller",3.9,12654,2011
tt1273221,"London Fields","Crime, Mystery, Thriller",3.9,12493,2018
tt0160236,"Dudley Do-Right","Comedy, Family, Romance",3.9,11501,1999
tt11771594,"American Pie Presents: Girls' Rules","Comedy, Romance",3.9,11259,2020
tt2364897,"The Disappointments Room","Drama, Horror, Thriller",3.9,10821,2016
tt1045655,"The Haunting of Molly Hartley","Drama, Horror, Thriller",3.9,10227,2008
tt6027920,"The Iron Throne","Action, Adventure, Drama",4,267773,2019
tt0938283,"The Last Airbender","Action, Adventure, Family",4,176759,2010
tt11057302,"Madame Web","Action, Adventure, Sci-Fi",4,90719,2024
tt3679040,"Kisi Ka Bhai Kisi Ki Jaan","Action, Comedy, Drama",4,41229,2023
